Student_ID,Full Name,Enrollment_Date,Attendance_Rate,Midterm_Score,Final_Exam_Score,Passed_Prep_Course,Tuition_Paid_USD
STU_1010,john DOE,1-Sep-23,89.48,80,77,Y,12000
STU_1032,emma watson,9/1/2023,,77,97,Y,12000
STU_1138,Alice johnson,1/9/2023,81.36,52,66,no,PENDING
STU_1176,Michael Jordan,1-Sep-23,88.73,92,73,FALSE,12000
STU_1015,BOB MARLEY,1-Sep-23,850,49,43,FALSE,
STU_1111,Sarah-Jane O'Connor,1-Sep-23,93.32,59,77,yes,PENDING
STU_1168,Alice johnson,1/9/2023,78.94,,40,N,"$12,000 "
STU_1073,Charlie Brown,,82.3,45,50,Yes,12000
STU_1014,john DOE,9/1/2023,96.83,85,79,TRUE,PENDING
STU_1139,Charlie Brown,9/1/2023,96.28,58,61,N,"$12,000 "
STU_1158,john DOE,2023.09.01,98.08,88,45,yes,PENDING
STU_1030,Michael Jordan,2023.09.01,76.24,92,75,yes,
STU_1186,Jane Smith,9/1/2023,67.93,49,57,N,
STU_1009,john DOE,1/9/2023,97.61,63,95,No,PENDING
STU_1067,emma watson,2023.09.01,95.42,57,98,TRUE,12000
STU_1175,Jane Smith,1/9/2023,98.55,47,52,No,12000
STU_1171,Sarah-Jane O'Connor,2023.09.01,78.6,56,74,No,"$12,000 "
STU_1018,Sarah-Jane O'Connor,2023.09.01,96,86,46,FALSE,12000
STU_1153,john DOE,1/9/2023,76.86,84,92,TRUE,PENDING
STU_1066,BOB MARLEY,1/9/2023,94.42,96,49,no,12000
STU_1185,emma watson,2023.09.01,97.66,49,53,no,"$12,000 "
STU_1142,BOB MARLEY,9/1/2023,,51,46,Y,
STU_1079,Michael Jordan,,82.36,88, ,TRUE,"$12,000 "
STU_1025,Alice johnson,1/9/2023,86.6,74,82,TRUE,PENDING
STU_1104,Jane Smith,2023.09.01,75.32,87,41,N,"$12,000 "
STU_1145,emma watson,1/9/2023,67.27,85,61,yes,
STU_1189,BOB MARLEY,1/9/2023,69.71,100,N/A,yes,"$12,000 "
STU_1016,Michael Jordan,2023.09.01,86.54,67,79,FALSE,"$12,000 "
STU_1045,BOB MARLEY,1/9/2023,86.55,69,-25,Yes,
STU_1150,BOB MARLEY,,95.19,43,82,No,PENDING
STU_1108,Charlie Brown,1/9/2023,73.24,84,93,yes,"$12,000 "
STU_1055,emma watson,1-Sep-23,84.45,51,80,No,12000
STU_1112,john DOE,2023.09.01,75.58,56,100,Y,
STU_1191,Alice johnson,2023.09.01,72.06,45,68,No,12000
STU_1124,john DOE,,81.53,51,73,No,"$12,000 "
STU_1128,BOB MARLEY,9/1/2023,79.53,70,57,yes,12000
STU_1075,BOB MARLEY,9/1/2023,64.85,999,59,N,"$12,000 "
STU_1135,Alice johnson,,93.62,58,45,FALSE,PENDING
STU_1118,Alice johnson,9/1/2023,79.08,47,76,yes,"$12,000 "
STU_1098,Jane Smith,2023.09.01,88.54,63,96,Y,12000
STU_1096,Alice johnson,9/1/2023,69.57,82,N/A,Y,PENDING
STU_1183,john DOE,1-Sep-23,96.32,83,88,FALSE,"$12,000 "
STU_1117,BOB MARLEY,9/1/2023,83.03,60,57,TRUE,"$12,000 "
STU_1093,john DOE,9/1/2023,71.09,84,71,Y,12000
STU_1084,BOB MARLEY,1/9/2023,95.68,85,69,yes,
STU_1095,Alice johnson,2023.09.01,79.38,59,45,TRUE,"$12,000 "
STU_1137,Sarah-Jane O'Connor,1-Sep-23,99.23,93,62,N,12000
STU_1030,Michael Jordan,2023.09.01,76.24,92,99,yes,
STU_1086,Michael Jordan,2023.09.01,96.27,68, ,Yes,12000
STU_1162,emma watson,1/9/2023,61.61,40,47,yes,"$12,000 "
STU_1152,emma watson,1/9/2023,98.05,58,65,no,PENDING
STU_1038,Michael Jordan,9/1/2023,87.03,99,70,FALSE,12000
STU_1024,Charlie Brown,2023.09.01,67.67,98,56,yes,12000
STU_1165,Charlie Brown,9/1/2023,93.57,70,95,FALSE,PENDING
STU_1120,Alice johnson,1/9/2023,71.94,74,88,yes,12000
STU_1029,Jane Smith,9/1/2023,,67,51,yes,"$12,000 "
STU_1019,Charlie Brown,1-Sep-23,80.28,73,100,Y,PENDING
STU_1069,BOB MARLEY,2023.09.01,68.75,,92,no,12000
STU_1097,Michael Jordan,1/9/2023,77.59,77,42,Y,12000
STU_1060,Alice johnson,2023.09.01,88.73,56,52,Y,"$12,000 "
STU_1068,john DOE,1-Sep-23,,75,57,No,"$12,000 "
STU_1005,Alice johnson,1/9/2023,77.44,92,68,No,
STU_1136,Alice johnson,1/9/2023,96.78,46,70,yes,12000
STU_1056,emma watson,,90.74,71,77,FALSE,12000
STU_1100,Michael Jordan,9/1/2023,73.43,75,87,TRUE,"$12,000 "
STU_1198,Sarah-Jane O'Connor,1-Sep-23,86.46,78,78,No,12000
STU_1082,Charlie Brown,2023.09.01,77.7,70,68,FALSE,"$12,000 "
STU_1065,Charlie Brown,1-Sep-23,95.71,84,81,yes,12000
STU_1109,Michael Jordan,2023.09.01,,69,95,Yes,PENDING
STU_1182,Jane Smith,,83.03,80,68,N,
STU_1031,Jane Smith,9/1/2023,93.35,86,44,FALSE,"$12,000 "
STU_1012,BOB MARLEY,1/9/2023,77.25,93,59,yes,
STU_1035,john DOE,,84.27,94,68,no,"$12,000 "
STU_1028,Jane Smith,,66.96,69,55,Yes,"$12,000 "
STU_1042,BOB MARLEY,9/1/2023,89.44,68,58,TRUE,
STU_1159,BOB MARLEY,1-Sep-23,,71,60,Y,"$12,000 "
STU_1101,Sarah-Jane O'Connor,,95.72,73,60,N,
STU_1146,Sarah-Jane O'Connor,9/1/2023,70.41,,66,FALSE,12000
STU_1051,Charlie Brown,,92.26,41,99,FALSE,12000
STU_1015,BOB MARLEY,1-Sep-23,84.93,49,43,FALSE,
STU_1173,BOB MARLEY,1/9/2023,74.76,95,66,Yes,
STU_1076,emma watson,9/1/2023,65.33,66,78,yes,12000
STU_1041,emma watson,1/9/2023,98.39,96,54,N,"$12,000 "
STU_1132,Jane Smith,9/1/2023,86.75,88,80,yes,12000
STU_1078,Sarah-Jane O'Connor,1/9/2023,81.25,75,92,No,"$12,000 "
STU_1127,Charlie Brown,9/1/2023,95.91,87,98,no,12000
STU_1026,BOB MARLEY,9/1/2023,75.17,89,45,no,PENDING
STU_1143,Charlie Brown,2023.09.01,77.14,,94,No,
STU_1113,Charlie Brown,9/1/2023,90.79,54,41,No,"$12,000 "
STU_1125,Jane Smith,1-Sep-23,89.39,52,81,N,12000
STU_1002,Charlie Brown,9/1/2023,95.98,40,89,yes,PENDING
STU_1077,BOB MARLEY,,78.59,71,87,N,12000
STU_1046,Charlie Brown,1-Sep-23,,76,95,no,12000
STU_1033,emma watson,,68.41,57,96,FALSE,
STU_1115,Jane Smith,1-Sep-23,60.78,86,83,no,
STU_1090,Alice johnson,2023.09.01,78,58,57,no,PENDING
STU_1085,Charlie Brown,2023.09.01,77.07,71,84,Yes,PENDING
STU_1144,Michael Jordan,1/9/2023,94.67,40,50,Yes,12000
STU_1036,Sarah-Jane O'Connor,,72.89,55,N/A,no,PENDING
STU_1122,emma watson,1/9/2023,95.67,88,51,TRUE,"$12,000 "
STU_1061,BOB MARLEY,1/9/2023,75.36,61,67,TRUE,12000
STU_1022,Michael Jordan,1/9/2023,87.89,79,80,Y,
STU_1141,BOB MARLEY,2023.09.01,86.52,63,82,yes,"$12,000 "
STU_1119,emma watson,2023.09.01,97.71,87,42,FALSE,"$12,000 "
STU_1033,emma watson,,68.41,57,40,FALSE,
STU_1011,Jane Smith,9/1/2023,67.88,97,67,FALSE,
STU_1019,Charlie Brown,1-Sep-23,80.28,,100,Y,PENDING
STU_1170,BOB MARLEY,2023.09.01,97.91,43,95,no,PENDING
STU_1006,Jane Smith,1-Sep-23,80.8,,98,N,
STU_1027,emma watson,,,70,50,yes,12000
STU_1196,BOB MARLEY,2023.09.01,,66,41,FALSE,12000
STU_1016,Michael Jordan,2023.09.01,86.54,,79,FALSE,"$12,000 "
STU_1147,Sarah-Jane O'Connor,2023.09.01,73.09,48,84,Yes,PENDING
STU_1004,BOB MARLEY,1/9/2023,61.78,66,64,TRUE,"$12,000 "
STU_1032,emma watson,9/1/2023,72.15,77,50,Y,12000
STU_1011,Jane Smith,9/1/2023,67.88,97,67,FALSE,
STU_1155,BOB MARLEY,1-Sep-23,,48,75,N,
STU_1172,Michael Jordan,1/9/2023,,100,69,TRUE,
STU_1154,BOB MARLEY,1/9/2023,93.4,100,88,Y,PENDING
STU_1114,Alice johnson,9/1/2023,97.84,47,88,FALSE,PENDING
STU_1010,john DOE,1-Sep-23,89.48,80,77,Y,12000
STU_1062,Alice johnson,2023.09.01,75.99,57,47,Y,12000
STU_1126,emma watson,,91.99,53,68,TRUE,
STU_1156,john DOE,9/1/2023,89.96,80,42,Y,"$12,000 "
STU_1177,emma watson,2023.09.01,91.11,,63,no,"$12,000 "
STU_1000,Jane Smith,9/1/2023,99.37,81,79,N,12000
STU_1193,Alice johnson,9/1/2023,92.22,47,84,Yes,"$12,000 "
STU_1163,Jane Smith,9/1/2023,61.24,76,89,no,12000
STU_1070,john DOE,9/1/2023,92.16,73,49,TRUE,"$12,000 "
STU_1181,john DOE,2023.09.01,97.16,76,80,No,"$12,000 "
STU_1064,Michael Jordan,2023.09.01,87.5,78,54,FALSE,"$12,000 "
STU_1044,john DOE,9/1/2023,71.35,88,58,TRUE,
STU_1140,Michael Jordan,2023.09.01,83.68,54,60,N,
STU_1040,Charlie Brown,9/1/2023,91.75,57, ,N,PENDING
STU_1123,Sarah-Jane O'Connor,1-Sep-23,,84,70,FALSE,12000
STU_1023,emma watson,1/9/2023,82.18,91,missing,No,"$12,000 "
STU_1161,john DOE,2023.09.01,98.29,95,60,FALSE,"$12,000 "
STU_1192,Michael Jordan,9/1/2023,87.37,55,96,Y,"$12,000 "
STU_1081,Alice johnson,1/9/2023,90.21,84,58,No,"$12,000 "
STU_1039,Jane Smith,,80.45,45,58,no,"$12,000 "
STU_1180,Sarah-Jane O'Connor,2023.09.01,83.15,44,71,no,12000
STU_1047,Jane Smith,9/1/2023,63.74,79,69,FALSE,"$12,000 "
STU_1094,Jane Smith,,91.11,,68,N,12000
STU_1164,BOB MARLEY,1-Sep-23,69.89,,65,No,
STU_1043,Jane Smith,,86.35,55,85,N,12000
STU_1148,Jane Smith,,78.19,57,71,no,PENDING
STU_1003,BOB MARLEY,9/1/2023,67.6,94,73,Yes,PENDING
STU_1105,Charlie Brown,,66.11,75,45,FALSE,PENDING
STU_1053,emma watson,,61.85,94,90,Y,12000
STU_1133,Sarah-Jane O'Connor,2023.09.01,91.93,73,92,Yes,12000
